,,,,LANÇAMENTOS POR DATA DE PAGAMENTOS,,,,,,,,,,,,,,
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32724,,SFB CONSULTORIA CONTABIL E FISCAL LTDA,496,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/5/2022,1/5/2022,1/5/2022,3633.87,0,0,0,0,3633.87,N.F. NO. 496                           ,AUDITORIA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2021005271,,FOLHA DE PAGAMENTO,,BORDERO, ,1/5/2022,1/5/2022,1/5/2022,113868.00,0,0,0,0,113868.00,PGTO. SALÁRIO REF. À DEZEMBRO/21 FUNC - CRY,PESSOAL - SALARIOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32758,,MAGAZINE LUIZA S/A 0001-21,60120,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/6/2022,1/6/2022,1/6/2022,4435.60,0,0,0,0,4435.60,DOCTO.LIB. No. 60120 - 4 CELULARES SAMSUNG A12 NOVOS ENGENHEIROS,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32764,,BANCO ITAUCARD S A,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/7/2022,1/7/2022,1/7/2022,22.64,0,0,0,0,22.64,CARTAO CORPORATIVO DR RENATO ,CARTÃO CORPORATIVO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32724,,EMPRESA TEJOFRAN DE SANEAMENTO E SERVICOS LTDA,34797,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/7/2022,1/7/2022,1/7/2022,8887.42,0,0,0,0,8887.42,N.F. NO. 34797                         ,MATERIAL DE LIMPEZA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022000076,,BANCO ITAU S/A,,BORDERO, ,1/7/2022,1/7/2022,1/7/2022,32140.19,0,0,0,0,32140.19,PGTO. FGTS SOBRE FOLHA DE DEZEMBRO/2021,PESSOAL - FGTS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32759,,GPBR PARTICIPAÇÕES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/7/2022,1/7/2022,1/7/2022,589.40,0,0,0,0,589.40,MENSALIDADE GYMPASS COLABORADORES,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32790,,SERVICO SOCIAL DA CONSTRUCAO CIVIL DO ESTADO DE SAO PAULO SE,4218,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/7/2022,1/7/2022,1/7/2022,1185.22,0,0,0,0,1185.22,DOCTO.LIB. No. 4218 - PGTO. SECONCI FUNCIONÁRIOS - CRY,PESSOAL - ASSISTENCIA MEDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32797,,PREFEITURA DO MUNICIPIO DE SAO PAULO,34797,TRANSFERENCIA DE ARQUIVOS,ISS,1/10/2022,1/10/2022,1/10/2022,212.74,0,0,0,0,212.74,ISS -  N.F.: 34797 - EMPRESA TEJOFRAN DE SANEAMENTO E SERVICOS LTDA,MATERIAL DE LIMPEZA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,TELEFONICA BRASIL S A (VIVO),,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/10/2022,1/10/2022,1/10/2022,559.98,0,0,0,0,559.98,CONTA CELULAR RICARDO YAZBEK,TELEFONIA MOVEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,J D R CONSULTORIA E PARTICIPACOES S A,,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,1/10/2022,1/10/2022,1/10/2022,4866.76,0,0,0,0,4866.76,ALUGUEL REF COMPETENCIA 12-2021 - JDR ,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32794,,MARELU PARTICIPACOES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/10/2022,1/10/2022,1/10/2022,3000.00,0,0,0,0,3000.00,ALUGUEL REF CONJUNTO 101 - 10 ANDAR 01/12 - 7 de 12,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32794,,MARELU PARTICIPACOES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/10/2022,1/10/2022,1/10/2022,3000.00,0,0,0,0,3000.00,ALUGUEL REF CONJUNTO 102 - 01/12 - 7 de 12,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32794,,MARELU PARTICIPACOES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/10/2022,1/10/2022,1/10/2022,3000.00,0,0,0,0,3000.00,ALUGUEL REF CONJUNTO 103 - 10 ANDAR 01/12 - 7 de 12,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32802,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,1294.06,0,0,0,0,1294.06,CONDOMINIO CONJUNTO 101,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32802,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,1007.68,0,0,0,0,1007.68,CONDOMINIO UNIDADE 102 ,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32802,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,977.60,0,0,0,0,977.60,CONDOMINIO UNIDADE 103 ,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32797,,PREFEITURA DO MUNICIPIO DE SAO PAULO,75,TRANSFERENCIA DE ARQUIVOS,ISS,1/10/2022,1/10/2022,1/10/2022,18.20,1.86,0.2,0,0,20.26,ISS -  N.F.: 75 - KLINSMAN FRANCA SANTANA 41570419841 ,CAMPANHAS E BRINDES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,MARQUEZANI COMERCIO DE PRODUTOS PARA INFORMATICA LTDA,10935,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,945.50,0,0,0,0,945.50,N.F. NO. 10935                         ,MANUTENÇÃO DE EQUIPAMENTOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,SAN BABILA CAFE LTDA EPP,24831,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,1319.90,0,0,0,0,1319.90,N.F. NO. 24831                         ,ALIMENTAÇÃO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,439629,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,27.00,0,0,0,0,27.00,N.F. NO. 439629                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,439802,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,89.10,0,0,0,0,89.10,N.F. NO. 439802                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,440186,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,41.40,0,0,0,0,41.40,N.F. NO. 440186                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,440188,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,136.80,0,0,0,0,136.80,N.F. NO. 440188                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,440341,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,87.75,0,0,0,0,87.75,N.F. NO. 440341                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,440645,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,20.70,0,0,0,0,20.70,N.F. NO. 440645                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,441032,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,62.10,0,0,0,0,62.10,N.F. NO. 441032                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,441189,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,62.10,0,0,0,0,62.10,N.F. NO. 441189                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,441821,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,38.85,0,0,0,0,38.85,N.F. NO. 441821                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,441822,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,62.10,0,0,0,0,62.10,N.F. NO. 441822                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,OF. DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO 9 SUBD. VILA M,442000,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,227.25,0,0,0,0,227.25,N.F. NO. 442000                        ,LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,MARQUEZANI COMERCIO DE PRODUTOS PARA INFORMATICA LTDA,4045,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,795.00,0,0,0,0,795.00,N.F. NO. 4045                          ,SUPRIMENTOS INFORMATICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,MAZER DISTRIBUIDORA LTDA,55912,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,918.00,0,0,0,0,918.00,N.F. NO. 55912                         ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,INOVTI SOLUCOES EM INFORMATICA LTDA ME,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,2526.00,0,0,0,0,2526.00,LOCAÇAO DE 185 MINI PCS INTEL C WIN 10 PRO OFFICE 2013 ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,SBS COMERCIO E INFORMATICA LTDA,5492,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,8859.05,0,0,0,0,8859.05,N.F. NO. 5492                          ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,DOORS TECH SISTEMAS LTDA ME,2608,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,1392.60,0,0,0,0,1392.60,N.F. NO. 2608                           - SISTEMA FOLHA PAGAMENTO,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,99TAXIS DESENVOLVIMENTO DE SOFTWARE LTDA,1823,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,108.00,0,0,0,0,108.00,N.F. NO. 1823                           - LICENCIAMENTO DE SOFTWARE 12/21,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,CLARO NXT TELECOMUNICACOES S/A,23023957,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/10/2022,1/10/2022,1/10/2022,130.58,0,0,0,0,130.58,N.F. NO. 23023957                       - REF TV DIGITAL 13 AND,INTERNET
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,SOMPO SAUDE SEGUROS S.A.,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,59496.17,0,0,0,0,59496.17,PAGT ASSISTENCIA MEDICA,PESSOAL - ASSISTENCIA MEDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,MARSALA EVENTOS EIRELI,745,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,1/10/2022,1/10/2022,1/10/2022,1000.00,0,0,0,0,1000.00,N.F. NO. 745                           ,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,SIND. DA IND. DA CONSTR. CIVIL DE GRANDES ESTRUTURAS NO ESTA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,1328.73,0,0,0,0,1328.73,GUIA DE RECOLHIMENTO DA CONTRIBUIÇAO DE ASSOCIATIVA ,ANUALIDADES - SINDUSCON
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,99TAXIS DESENVOLVIMENTO DE SOFTWARE LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/10/2022,1/10/2022,1/10/2022,3079.15,0,0,0,0,3079.15,DESPESAS COM TAXIS,VEICULOS - OUTRAS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32794,,MARIO SERGIO TOGNOLLO ADVOGADOS ASSOCIADOS EPP,481,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/10/2022,1/10/2022,1/10/2022,4692.50,0,0,0,0,4692.50,N.F. NO. 481                           ,ASSESSORIA JURIDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,SIND. DOS TRABALHADORES NAS IND.S DA CONSTR. CIVIL DE SAO PA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,397.91,0,0,0,0,397.91,PGTO. ASSISTENCIAL 1% FUNCIONÁRIOS -CRY,PESSOAL - CONTRIBUIÇÕES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,SIND. DOS TRABALHADORES NAS IND.S DA CONSTR. CIVIL DE SAO PA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/10/2022,1/10/2022,1/10/2022,160.00,0,0,0,0,160.00,PGTO. ASSOCIATIVA FUNCIONÁRIOS - CRY,PESSOAL - CONTRIBUIÇÕES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32822,,NEOCODE SOFTWARE LTDA ME ,1537,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/12/2022,1/12/2022,1/12/2022,10.17,0,0,0,0,10.17,PARC. 2 DE 2 REF.  N.F. NO. 1537                          ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,PRADO CHAVES ARQUIVOS E SISTEMAS LTDA,46669,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/12/2022,1/12/2022,1/12/2022,3580.33,0,0,0,0,3580.33,N.F. NO. 46669                         ,ARQUIVO MORTO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022000203,,SIND. DOS TRABALHADORES NAS IND.S DA CONSTR. CIVIL DE SAO PA,,BORDERO, ,1/12/2022,1/12/2022,1/12/2022,437.39,0,0,0,0,437.39,PGTO. ASSISTENCIAL 1% SOBRE 13º SALÁRIO - CRY,PESSOAL - CONTRIBUIÇÕES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,J DI PAES E DOCES LTDA EPP,859,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,1/13/2022,1/13/2022,1/13/2022,422.40,0,0,0,0,422.40,N.F. NO. 859                           ,ALIMENTAÇÃO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,MAGAZINE LUIZA S/A 0001-21,9988,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,1/13/2022,1/13/2022,1/13/2022,1917.00,0,0,0,0,1917.00,DOCTO.LIB. No. 9988 - 3 CELULARES SAMSUNG A03 - ADMINISTRATIVOS,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,INFORSHOP SUPRIMENTOS LTDA,765503,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/13/2022,1/13/2022,1/13/2022,8142.40,0,0,0,0,8142.40,N.F. NO. 765503                        ,SUPRIMENTOS INFORMATICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,GPBR PARTICIPAÇÕES LTDA,581923,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/13/2022,1/13/2022,1/13/2022,1361.98,0,0,0,0,1361.98,N.F. NO. 581923                        ,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,AMF EQUIPAMENTOS DE PROTECAO E PRODUTOS INDUSTRIAIS LTDA,41051,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/14/2022,1/14/2022,1/14/2022,339.12,0,0,0,0,339.12,N.F. NO. 41051                         ,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32795,,LABORATORIO DE PATOLOGIA CIRURGICA DE SAO PAULO,37552,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/14/2022,1/14/2022,1/14/2022,419.54,0,0,0,0,419.54,N.F. NO. 37552                         ,PESSOAL - ASSISTENCIA MEDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022000310,,PREFEITURA DO MUNICIPIO DE SAO PAULO,,BORDERO, ,1/14/2022,1/14/2022,1/14/2022,2286.76,0,0,0,0,2286.76,PAGAMENTO REF IPVA PLACA FRY6443,VEICULOS - OUTRAS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32846,,MARIA NOBRE ATELIE DE COSTURA E LAVANDERIA EIRELI - ME,3224,TRANSFERENCIA DE ARQUIVOS,PIX C/C,1/17/2022,1/17/2022,1/17/2022,280.00,0,0,0,0,280.00,N.F. NO. 3224                          ,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,MONOUSO COMERCIO E IMPORTACAO LTDA ,8514,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/17/2022,1/17/2022,1/17/2022,2414.36,0,0,0,0,2414.36,N.F. NO. 8514                          ,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,BANCO ITAUCARD S A,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,1/17/2022,1/17/2022,1/17/2022,22.64,0,0,0,0,22.64,CARTAO CORPORATIVO FINAL 8388 ,CARTÃO CORPORATIVO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/17/2022,1/17/2022,1/17/2022,1019.13,0,0,0,0,1019.13,ENERGIA ELETRICA REF CONJUNTO 102 - 10 ANDAR,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,375443544,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/17/2022,1/17/2022,1/17/2022,117.61,0,0,0,0,117.61,N.F. NO. 375443544                      - PAGAMENTO REF CONTA ENERGIA CONJUNTO 91,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,375688761,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/17/2022,1/17/2022,1/17/2022,223.23,0,0,0,0,223.23,N.F. NO. 375688761                      - CONTA CONJUNTO 135 ,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,375445127,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/17/2022,1/17/2022,1/17/2022,86.47,0,0,0,0,86.47,N.F. NO. 375445127                      - CONTA ENERGIA CONJUNTO 96,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,TELEFONICA BRASIL S A (VIVO),176656405,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/17/2022,1/17/2022,1/17/2022,5142.60,0,0,0,0,5142.60,N.F. NO. 176656405                      - REF FATURA CEL FUNCIONARIOS,TELEFONIA MOVEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,32831,,TELEFONICA BRASIL S A (VIVO),176656408,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,1/17/2022,1/17/2022,1/17/2022,1224.00,0,0,0,0,1224.00,N.F. NO. 176656408                      - PAGAMENTO REF 30 LINHAS ADICIONAIS MOVEIS C CHIPS,TELEFONIA MOVEL
